Principal;UsedTerm;Url;Title;Abstract;DataPublicacao
06064175000149;06064175000149+tcu+conluio;https://tcu.jusbrasil.com.br/jurisprudencia/316469255/654220115/inteiro-teor-316469309?ref=serp;TCU - Inteiro Teor. : 654220115;Decisão: (CNPJ 06064175/0001-49), Casa Mundo de Viagens e Negócios em Turismo Ltda. Corrobora, ainda, as evidências de que as cotações de preços 001, 003 e 004/2008 foram alvo de conluio...Código eletrônico para localização na página do TCU na Internet: AC-2141-34/11-P. 13.;17/08/2011
06064175000149;06064175000149+tcu+cartel;https://www.jusbrasil.com.br/diarios/107529167/dou-secao-3-22-01-2016-pg-77?ref=serp;DOU 22/01/2016 - Pág. 77 - Seção 3 - Diário Oficial da União;CNPJ: 06.064.175/0001-49. Órgão de Controle Interno competente, para análise e posterior envio ao Tribunal de contas da União-TCU...ADMINISTRATIVO nº 08012.010022/2008-16 (Autos de Acesso Restrito nº 08700.010935/2014-22), para apurar suposto cartel...;
06064175000149;06064175000149+tcu+crime;https://www.jusbrasil.com.br/diarios/207231763/dou-secao-3-05-09-2018-pg-168?ref=serp;DOU 05/09/2018 - Pág. 168 - Seção 3 - Diário Oficial da União;Adjudicação e homologação para: Item 1 - Aires Turismo LTDA, CNPJ/CPF: 06.064.175/0001-49, pelo melhor...do patrimônio público federal, a prevenção e o combate à corrupção, à lavagem de dinheiro e a outros crimes..., III , da Lei 8.443 /1992, fica NOTIFICADA Tháfini Thomé, CPF 824.721.650-72, do Acórdão 5973/2018-TCU-Segunda...;
10868000000161;10868000000161+tcu+lavagem;https://www.jusbrasil.com.br/diarios/72816330/dou-secao-3-10-07-2014-pg-131?ref=serp;DOU 10/07/2014 - Pág. 131 - Seção 3 - Diário Oficial da União;-ME, CNPJ nº 10.868.000/0001-61, decorrente da repactuação contratual realizada nos termos do Contrato...-ME, CNPJ nº 10.868.000/0001-61, decorrente da repactuação contratual realizada nos termos do Contrato...Regional do Trabalho da 7.ª Região informa da realização de Pregão para contratação de serviços de lavagem...;
00482840000138;00482840000138+tcu+fraude;https://www.jusbrasil.com.br/diarios/120420762/dou-secao-3-13-07-2016-pg-114?ref=serp;DOU 13/07/2016 - Pág. 114 - Seção 3 - Diário Oficial da União;se assim o desejar, a respeito do fato de na condição de licitante ter participado da ocorrência de fraude...É possível requerer vista eletrônica dos autos, por meio do Portal TCU (www.tcu.gov.br > aba cidadão,...Contratante: DEFENSORIA PÚBLICA DA UNIÃO -CNPJ Contratado: 00482840000138.;
00482840000138;00482840000138+tcu+fraude;https://tcu.jusbrasil.com.br/jurisprudencia/315863766/3590320112/inteiro-teor-315863824?ref=serp;TCU - Inteiro Teor. : 3590320112;Decisão: ., CNPJ n. 00.482.840/0001-38; Simac Manutenção e Serviço Ltda., CNPJ n. 09.132.935/0001-04; Artlimp...3.1 - Incompatibilidade entre o objeto licitado e o objeto executado e pago, com supostos indícios de fraude...Serviços Especializados Ltda., CNPJ 12.066.450/0001-66, Liderança Limpeza e Conservação Ltda., CNPJ 00.482.840/0001-38...;22/05/2013
00482840000138;00482840000138+tcu+ilicito;https://tcu.jusbrasil.com.br/jurisprudencia/315862182/2129720100/inteiro-teor-315862231?ref=serp;TCU - Inteiro Teor. : 2129720100;Decisão: (CNPJ n.º 00.482.840./0001-38) Advogados: não há Sumário: PEDIDO DE REEXAME. REPRESENTAÇÃO. acolhimento de suas razões recursais no sentido de que o cumprimento do pleito da empresa resultaria ilícito...(CNPJ n.º 00.482.840./0001-38). 4. Órgão: Universidade Federal de Santa Catarina (UFSC). 5.;04/06/2013
00482840000138;00482840000138+tcu+ilicito;https://tcu.jusbrasil.com.br/jurisprudencia/317542529/752120093/inteiro-teor-317542683?ref=serp;TCU - Inteiro Teor. : 752120093;Decisão: Em resumo, destaca que a mesma não encaminhou, em tempo hábil, a declaração de ilícitos trabalhistas...um acréscimo no valor global de R$ 694.202,02, em relação ao lance ofertado pela empresa com CNPJ nº 00.482.840/0001-38...Inabilitada em razão do não atendimento aos itens nº 9.11- declaração de ilícitos trabalhista; 9.12 –...;09/02/2010
00482840000138;00482840000138+tcu+ilicito;https://tcu.jusbrasil.com.br/jurisprudencia/315863766/3590320112/inteiro-teor-315863824?ref=serp;TCU - Inteiro Teor. : 3590320112;Decisão: ., CNPJ n. 00.482.840/0001-38; Simac Manutenção e Serviço Ltda., CNPJ n. 09.132.935/0001-04; Artlimp...TC-007.106/2012-2: possíveis ilícitos cometidos no âmbito do auxílio financeiro concedido à Associação...TC-007.106/2012-2: possíveis ilícitos cometidos no âmbito do auxílio financeiro concedido à Associação...;22/05/2013
00482840000138;00482840000138+tcu+ilicito;https://tcu.jusbrasil.com.br/jurisprudencia/313442268/3590320112/inteiro-teor-313442356?ref=serp;TCU - Inteiro Teor. : 3590320112;Decisão: ., CNPJ n. 00.482.840/0001-38; Simac Manutenção e Serviço Ltda., CNPJ n. 09.132.935/0001-04; Artlimp...TC-007.106/2012-2: possíveis ilícitos cometidos no âmbito do auxílio financeiro concedido à Associação...detectadas ocorrências relativas aos Pregões ns. 10/2009, 07/2010, 63/2010, 74/2010, 40/2011, além de ilícitos...;19/08/2015
