Principal;TimeStamp;Valid;Rule;Support;Confidence;Lift;Count
7832586000108;201302;;{00448994000103,01017250000105,05917540000158} => {07832586000108};0,010251631;1;19,87037037;11
7832586000108;201302;;{01017250000105,05917540000158,06064175000149} => {07832586000108};0,012115564;1;19,87037037;13
7832586000108;201302;;{01017250000105,05120923000109,05917540000158} => {07832586000108};0,014911463;1;19,87037037;16
5120923000109;201302;;{01017250000105,35636034000151,39822176000164} => {05120923000109};0,010251631;1;23,84444444;11
5120923000109;201302;;{01017250000105,07832586000108,35636034000151} => {05120923000109};0,011183597;1;23,84444444;12
39822176000164;201302;;{00448994000103,01017250000105,06064175000149} => {39822176000164};0,01304753;1;29;14
5120923000109;201302;;{00448994000103,01017250000105,39822176000164} => {05120923000109};0,013979497;1;23,84444444;15
39822176000164;201302;;{00448994000103,01017250000105,05120923000109} => {39822176000164};0,013979497;1;29;15
39822176000164;201302;;{00448994000103,01017250000105,07832586000108} => {39822176000164};0,012115564;1;29;13
5120923000109;201302;;{01017250000105,06064175000149,39822176000164} => {05120923000109};0,01584343;1;23,84444444;17
5120923000109;201302;;{01017250000105,07832586000108,39822176000164} => {05120923000109};0,016775396;1;23,84444444;18
5120923000109;201302;;{00448994000103,01017250000105,06064175000149} => {05120923000109};0,01304753;1;23,84444444;14
5120923000109;201302;;{00448994000103,01017250000105,07832586000108} => {05120923000109};0,012115564;1;23,84444444;13
35636034000151;201302;;{00448994000103,04613668000165,05917540000158} => {35636034000151};0,010251631;1;29;11
35636034000151;201302;;{04613668000165,05917540000158,06064175000149} => {35636034000151};0,01304753;1;29;14
35636034000151;201302;;{04613668000165,05120923000109,05917540000158} => {35636034000151};0,012115564;1;29;13
35636034000151;201302;;{04613668000165,05917540000158,07832586000108} => {35636034000151};0,013979497;1;29;15
7832586000108;201302;;{00448994000103,04613668000165,05917540000158} => {07832586000108};0,010251631;1;19,87037037;11
5120923000109;201302;;{04613668000165,35636034000151,39822176000164} => {05120923000109};0,011183597;1;23,84444444;12
35636034000151;201302;;{04613668000165,05120923000109,39822176000164} => {35636034000151};0,011183597;1;29;12
5120923000109;201302;;{05917540000158,35636034000151,39822176000164} => {05120923000109};0,01304753;1;23,84444444;14
7832586000108;201302;;{00448994000103,05917540000158,35636034000151} => {07832586000108};0,013979497;1;19,87037037;15
7832586000108;201302;;{00448994000103,05917540000158,39822176000164} => {07832586000108};0,01584343;1;19,87037037;17
7832586000108;201302;;{00448994000103,05917540000158,06064175000149} => {07832586000108};0,018639329;1;19,87037037;20
7832586000108;201302;;{00448994000103,05120923000109,05917540000158} => {07832586000108};0,017707363;1;19,87037037;19
7832586000108;201302;;{00448994000103,05917540000158,06064175000149,12490140000174} => {07832586000108};0,011183597;1;19,87037037;12
6064175000149;201302;;{00448994000103,05917540000158,07832586000108,12490140000174} => {06064175000149};0,011183597;1;24,95348837;12
7832586000108;201302;;{05120923000109,05917540000158,06064175000149,12490140000174} => {07832586000108};0,010251631;1;19,87037037;11
6064175000149;201302;;{00448994000103,05120923000109,07832586000108,12490140000174} => {06064175000149};0,010251631;1;24,95348837;11
5120923000109;201302;;{00448994000103,01017250000105,05917540000158,39822176000164} => {05120923000109};0,010251631;1;23,84444444;11
39822176000164;201302;;{00448994000103,01017250000105,05120923000109,05917540000158} => {39822176000164};0,010251631;1;29;11
7832586000108;201302;;{00448994000103,01017250000105,05917540000158,39822176000164} => {07832586000108};0,010251631;1;19,87037037;11
39822176000164;201302;;{00448994000103,01017250000105,05917540000158,07832586000108} => {39822176000164};0,010251631;1;29;11
7832586000108;201302;;{01017250000105,05120923000109,05917540000158,39822176000164} => {07832586000108};0,012115564;1;19,87037037;13
5120923000109;201302;;{01017250000105,05917540000158,07832586000108,39822176000164} => {05120923000109};0,012115564;1;23,84444444;13
7832586000108;201302;;{00448994000103,01017250000105,05120923000109,05917540000158} => {07832586000108};0,010251631;1;19,87037037;11
5120923000109;201302;;{00448994000103,01017250000105,05917540000158,07832586000108} => {05120923000109};0,010251631;1;23,84444444;11
7832586000108;201302;;{01017250000105,05120923000109,05917540000158,06064175000149} => {07832586000108};0,011183597;1;19,87037037;12
5120923000109;201302;;{00448994000103,01017250000105,06064175000149,39822176000164} => {05120923000109};0,01304753;1;23,84444444;14
39822176000164;201302;;{00448994000103,01017250000105,05120923000109,06064175000149} => {39822176000164};0,01304753;1;29;14
39822176000164;201302;;{00448994000103,01017250000105,06064175000149,07832586000108} => {39822176000164};0,011183597;1;29;12
5120923000109;201302;;{00448994000103,01017250000105,07832586000108,39822176000164} => {05120923000109};0,012115564;1;23,84444444;13
39822176000164;201302;;{00448994000103,01017250000105,05120923000109,07832586000108} => {39822176000164};0,012115564;1;29;13
5120923000109;201302;;{01017250000105,06064175000149,07832586000108,39822176000164} => {05120923000109};0,013979497;1;23,84444444;15
5120923000109;201302;;{00448994000103,01017250000105,06064175000149,07832586000108} => {05120923000109};0,011183597;1;23,84444444;12
7832586000108;201302;;{00448994000103,04613668000165,05917540000158,35636034000151} => {07832586000108};0,010251631;1;19,87037037;11
35636034000151;201302;;{00448994000103,04613668000165,05917540000158,07832586000108} => {35636034000151};0,010251631;1;29;11
35636034000151;201302;;{04613668000165,05120923000109,05917540000158,06064175000149} => {35636034000151};0,010251631;1;29;11
35636034000151;201302;;{04613668000165,05917540000158,06064175000149,07832586000108} => {35636034000151};0,012115564;1;29;13
35636034000151;201302;;{04613668000165,05120923000109,05917540000158,07832586000108} => {35636034000151};0,011183597;1;29;12
5120923000109;201302;;{05917540000158,06064175000149,35636034000151,39822176000164} => {05120923000109};0,011183597;1;23,84444444;12
5120923000109;201302;;{05917540000158,07832586000108,35636034000151,39822176000164} => {05120923000109};0,012115564;1;23,84444444;13
7832586000108;201302;;{00448994000103,05917540000158,06064175000149,35636034000151} => {07832586000108};0,01304753;1;19,87037037;14
7832586000108;201302;;{00448994000103,05120923000109,05917540000158,35636034000151} => {07832586000108};0,012115564;1;19,87037037;13
7832586000108;201302;;{00448994000103,05917540000158,06064175000149,39822176000164} => {07832586000108};0,014911463;1;19,87037037;16
7832586000108;201302;;{00448994000103,05120923000109,05917540000158,39822176000164} => {07832586000108};0,014911463;1;19,87037037;16
7832586000108;201302;;{00448994000103,05120923000109,05917540000158,06064175000149} => {07832586000108};0,01584343;1;19,87037037;17
7832586000108;201302;;{00448994000103,01017250000105,05120923000109,05917540000158,39822176000164} => {07832586000108};0,010251631;1;19,87037037;11
5120923000109;201302;;{00448994000103,01017250000105,05917540000158,07832586000108,39822176000164} => {05120923000109};0,010251631;1;23,84444444;11
39822176000164;201302;;{00448994000103,01017250000105,05120923000109,05917540000158,07832586000108} => {39822176000164};0,010251631;1;29;11
5120923000109;201302;;{00448994000103,01017250000105,06064175000149,07832586000108,39822176000164} => {05120923000109};0,011183597;1;23,84444444;12
39822176000164;201302;;{00448994000103,01017250000105,05120923000109,06064175000149,07832586000108} => {39822176000164};0,011183597;1;29;12
5120923000109;201302;;{05917540000158,06064175000149,07832586000108,35636034000151,39822176000164} => {05120923000109};0,010251631;1;23,84444444;11
7832586000108;201302;;{00448994000103,05120923000109,05917540000158,06064175000149,35636034000151} => {07832586000108};0,011183597;1;19,87037037;12
7832586000108;201302;;{00448994000103,05120923000109,05917540000158,06064175000149,39822176000164} => {07832586000108};0,013979497;1;19,87037037;15
7832586000108;201303;;{04395409000105} => {07832586000108};0,011764706;1;16,72131148;12
7832586000108;201303;;{09443963000134} => {07832586000108};0,011764706;1;16,72131148;12
7832586000108;201303;;{02964393000189} => {07832586000108};0,012745098;1;16,72131148;13
7832586000108;201303;;{09118698000119} => {07832586000108};0,014705882;1;16,72131148;15
10446523000110;201303;;{05897975000188} => {10446523000110};0,015686275;1;56,66666667;16
10636507000190;201303;;{15022662000130} => {10636507000190};0,010784314;1;72,85714286;11
5037539000139;201303;;{11658951000179} => {05037539000139};0,010784314;1;92,72727273;11
11658951000179;201303;;{05037539000139} => {11658951000179};0,010784314;1;92,72727273;11
10723998000106;201303;0;{13981081000108} => {10723998000106};0,017647059;1;48,57142857;18
7832586000108;201303;;{09443963000134,35636034000151} => {07832586000108};0,010784314;1;16,72131148;11
7832586000108;201303;;{05120923000109,15741481000163} => {07832586000108};0,010784314;1;16,72131148;11
7832586000108;201303;;{02964393000189,05120923000109} => {07832586000108};0,010784314;1;16,72131148;11
13353495000184;201303;;{07832586000108,12627959000130} => {13353495000184};0,011764706;1;56,66666667;12
7832586000108;201303;;{00448994000103,09118698000119} => {07832586000108};0,010784314;1;16,72131148;11
7832586000108;201303;;{00448994000103,89624373000147} => {07832586000108};0,010784314;1;16,72131148;11
5120923000109;201303;;{35636034000151,72597966000169} => {05120923000109};0,010784314;1;20,81632653;11
7832586000108;201303;;{35636034000151,72597966000169} => {07832586000108};0,010784314;1;16,72131148;11
7832586000108;201303;;{05120923000109,72597966000169} => {07832586000108};0,015686275;1;16,72131148;16
5120923000109;201303;;{07832586000108,72597966000169} => {05120923000109};0,015686275;1;20,81632653;16
7832586000108;201303;;{04613668000165,13353495000184} => {07832586000108};0,010784314;1;16,72131148;11
7832586000108;201303;;{00448994000103,13353495000184} => {07832586000108};0,010784314;1;16,72131148;11
7832586000108;201303;;{13353495000184,35636034000151} => {07832586000108};0,010784314;1;16,72131148;11
7832586000108;201303;;{06064175000149,13353495000184} => {07832586000108};0,011764706;1;16,72131148;12
7832586000108;201303;;{05120923000109,13353495000184} => {07832586000108};0,01372549;1;16,72131148;14
7832586000108;201303;;{01017250000105,95870069000182} => {07832586000108};0,011764706;1;16,72131148;12
7832586000108;201303;;{10716021000161,95870069000182} => {07832586000108};0,010784314;1;16,72131148;11
7832586000108;201303;;{00448994000103,95870069000182} => {07832586000108};0,011764706;1;16,72131148;12
7832586000108;201303;;{02462167000108,05917540000158} => {07832586000108};0,011764706;1;16,72131148;12
7832586000108;201303;;{02462167000108,06064175000149} => {07832586000108};0,012745098;1;16,72131148;13
7832586000108;201303;;{02462167000108,05120923000109} => {07832586000108};0,014705882;1;16,72131148;15
7832586000108;201303;;{00448994000103,06955770000174} => {07832586000108};0,01372549;1;16,72131148;14
5120923000109;201303;;{05146214000194,05917540000158} => {05120923000109};0,012745098;1;20,81632653;13
7832586000108;201303;;{05146214000194,05917540000158} => {07832586000108};0,012745098;1;16,72131148;13
5120923000109;201303;;{05146214000194,06178319000198} => {05120923000109};0,011764706;1;20,81632653;12
5120923000109;201303;;{05146214000194,10716021000161} => {05120923000109};0,010784314;1;20,81632653;11
7832586000108;201303;;{05146214000194,10716021000161} => {07832586000108};0,010784314;1;16,72131148;11
7832586000108;201303;;{00448994000103,05146214000194} => {07832586000108};0,011764706;1;16,72131148;12
5120923000109;201303;;{05146214000194,35636034000151} => {05120923000109};0,010784314;1;20,81632653;11
7832586000108;201303;;{01017250000105,05917540000158} => {07832586000108};0,015686275;1;16,72131148;16
7832586000108;201303;;{01017250000105,39822176000164} => {07832586000108};0,015686275;1;16,72131148;16
7832586000108;201303;;{00448994000103,01017250000105} => {07832586000108};0,011764706;1;16,72131148;12
7832586000108;201303;;{01017250000105,35636034000151} => {07832586000108};0,011764706;1;16,72131148;12
7832586000108;201303;;{05917540000158,06178319000198} => {07832586000108};0,012745098;1;16,72131148;13
5120923000109;201303;;{05917540000158,39822176000164} => {05120923000109};0,019607843;1;20,81632653;20
7832586000108;201303;;{04613668000165,06178319000198} => {07832586000108};0,017647059;1;16,72131148;18
7832586000108;201303;;{00448994000103,06178319000198} => {07832586000108};0,015686275;1;16,72131148;16
5120923000109;201303;;{04613668000165,39822176000164} => {05120923000109};0,011764706;1;20,81632653;12
5120923000109;201303;;{10716021000161,39822176000164} => {05120923000109};0,011764706;1;20,81632653;12
7832586000108;201303;;{10716021000161,39822176000164} => {07832586000108};0,011764706;1;16,72131148;12
7832586000108;201303;;{00448994000103,39822176000164} => {07832586000108};0,016666667;1;16,72131148;17
5120923000109;201303;;{35636034000151,39822176000164} => {05120923000109};0,016666667;1;20,81632653;17
7832586000108;201303;;{05120923000109,10716021000161} => {07832586000108};0,020588235;1;16,72131148;21
10868000000161;201303;;{00731434000161,08330354000106} => {10868000000161};0,010784314;1;13,42105263;11
10868000000161;201303;;{00482840000138,08330354000106} => {10868000000161};0,01372549;1;13,42105263;14
7832586000108;201303;;{00448994000103,05120923000109} => {07832586000108};0,026470588;1;16,72131148;27
7832586000108;201303;;{05120923000109,35636034000151,72597966000169} => {07832586000108};0,010784314;1;16,72131148;11
5120923000109;201303;;{07832586000108,35636034000151,72597966000169} => {05120923000109};0,010784314;1;20,81632653;11
7832586000108;201303;;{01017250000105,05120923000109,95870069000182} => {07832586000108};0,010784314;1;16,72131148;11
7832586000108;201303;;{02462167000108,05120923000109,05917540000158} => {07832586000108};0,010784314;1;16,72131148;11
7832586000108;201303;;{02462167000108,05120923000109,39822176000164} => {07832586000108};0,010784314;1;16,72131148;11
7832586000108;201303;;{00448994000103,05120923000109,06955770000174} => {07832586000108};0,011764706;1;16,72131148;12
5120923000109;201303;;{05146214000194,05917540000158,39822176000164} => {05120923000109};0,010784314;1;20,81632653;11
7832586000108;201303;;{05146214000194,05917540000158,39822176000164} => {07832586000108};0,010784314;1;16,72131148;11
7832586000108;201303;;{05120923000109,05146214000194,05917540000158} => {07832586000108};0,012745098;1;16,72131148;13
5120923000109;201303;;{05146214000194,05917540000158,07832586000108} => {05120923000109};0,012745098;1;20,81632653;13
5120923000109;201303;;{05146214000194,06178319000198,07832586000108} => {05120923000109};0,010784314;1;20,81632653;11
7832586000108;201303;;{05120923000109,05146214000194,10716021000161} => {07832586000108};0,010784314;1;16,72131148;11
5120923000109;201303;;{05146214000194,07832586000108,10716021000161} => {05120923000109};0,010784314;1;20,81632653;11
7832586000108;201303;;{00448994000103,05120923000109,05146214000194} => {07832586000108};0,010784314;1;16,72131148;11
5120923000109;201303;;{01017250000105,05917540000158,39822176000164} => {05120923000109};0,011764706;1;20,81632653;12
7832586000108;201303;;{01017250000105,05917540000158,39822176000164} => {07832586000108};0,011764706;1;16,72131148;12
7832586000108;201303;;{01017250000105,05917540000158,06064175000149} => {07832586000108};0,012745098;1;16,72131148;13
7832586000108;201303;;{01017250000105,05120923000109,05917540000158} => {07832586000108};0,014705882;1;16,72131148;15
7832586000108;201303;;{01017250000105,06064175000149,39822176000164} => {07832586000108};0,011764706;1;16,72131148;12
7832586000108;201303;;{01017250000105,05120923000109,39822176000164} => {07832586000108};0,014705882;1;16,72131148;15
7832586000108;201303;;{01017250000105,05120923000109,35636034000151} => {07832586000108};0,010784314;1;16,72131148;11
7832586000108;201303;;{05120923000109,05917540000158,06178319000198} => {07832586000108};0,010784314;1;16,72131148;11
5120923000109;201303;;{00448994000103,05917540000158,39822176000164} => {05120923000109};0,010784314;1;20,81632653;11
7832586000108;201303;;{00448994000103,05917540000158,39822176000164} => {07832586000108};0,010784314;1;16,72131148;11
5120923000109;201303;;{05917540000158,06064175000149,39822176000164} => {05120923000109};0,015686275;1;20,81632653;16
5120923000109;201303;;{05917540000158,07832586000108,39822176000164} => {05120923000109};0,018627451;1;20,81632653;19
7832586000108;201303;;{05120923000109,05917540000158,10716021000161} => {07832586000108};0,010784314;1;16,72131148;11
7832586000108;201303;;{00448994000103,05120923000109,05917540000158} => {07832586000108};0,01372549;1;16,72131148;14
7832586000108;201303;;{04613668000165,06178319000198,35636034000151} => {07832586000108};0,016666667;1;16,72131148;17
7832586000108;201303;;{04613668000165,05120923000109,06178319000198} => {07832586000108};0,015686275;1;16,72131148;16
5120923000109;201303;;{06178319000198,35636034000151,39822176000164} => {05120923000109};0,011764706;1;20,81632653;12
5120923000109;201303;;{06064175000149,06178319000198,39822176000164} => {05120923000109};0,010784314;1;20,81632653;11
5120923000109;201303;;{06178319000198,07832586000108,39822176000164} => {05120923000109};0,014705882;1;20,81632653;15
7832586000108;201303;;{05120923000109,06178319000198,10716021000161} => {07832586000108};0,011764706;1;16,72131148;12
5120923000109;201303;;{06178319000198,07832586000108,10716021000161} => {05120923000109};0,011764706;1;20,81632653;12
7832586000108;201303;;{00448994000103,05120923000109,06178319000198} => {07832586000108};0,012745098;1;16,72131148;13
5120923000109;201303;;{04613668000165,07832586000108,39822176000164} => {05120923000109};0,010784314;1;20,81632653;11
7832586000108;201303;;{04613668000165,05120923000109,10716021000161} => {07832586000108};0,012745098;1;16,72131148;13
7832586000108;201303;;{00448994000103,04613668000165,05120923000109} => {07832586000108};0,01372549;1;16,72131148;14
5120923000109;201303;;{00448994000103,10716021000161,39822176000164} => {05120923000109};0,010784314;1;20,81632653;11
7832586000108;201303;;{00448994000103,10716021000161,39822176000164} => {07832586000108};0,010784314;1;16,72131148;11
7832586000108;201303;;{05120923000109,10716021000161,39822176000164} => {07832586000108};0,011764706;1;16,72131148;12
5120923000109;201303;;{07832586000108,10716021000161,39822176000164} => {05120923000109};0,011764706;1;20,81632653;12
7832586000108;201303;;{00448994000103,06064175000149,39822176000164} => {07832586000108};0,011764706;1;16,72131148;12
7832586000108;201303;;{00448994000103,05120923000109,39822176000164} => {07832586000108};0,015686275;1;16,72131148;16
5120923000109;201303;;{06064175000149,35636034000151,39822176000164} => {05120923000109};0,011764706;1;20,81632653;12
5120923000109;201303;;{07832586000108,35636034000151,39822176000164} => {05120923000109};0,014705882;1;20,81632653;15
7832586000108;201303;;{00448994000103,05120923000109,10716021000161} => {07832586000108};0,016666667;1;16,72131148;17
7832586000108;201303;;{05120923000109,10716021000161,35636034000151} => {07832586000108};0,012745098;1;16,72131148;13
7832586000108;201303;;{05120923000109,06064175000149,10716021000161} => {07832586000108};0,011764706;1;16,72131148;12
7832586000108;201303;;{00448994000103,05120923000109,35636034000151} => {07832586000108};0,014705882;1;16,72131148;15
7832586000108;201303;;{00448994000103,05120923000109,06064175000149} => {07832586000108};0,015686275;1;16,72131148;16
7832586000108;201303;;{05120923000109,05146214000194,05917540000158,39822176000164} => {07832586000108};0,010784314;1;16,72131148;11
