"rules";"support";"confidence";"lift";"count"
"{07611027000160} => {20337346000197}";0.0100394406597347;0.651162790697674;37.063122923588;28
"{13303039000120} => {10752963000103}";0.0100394406597347;0.875;18.3486842105263;28
"{11420095000119} => {10752963000103}";0.0100394406597347;0.848484848484849;17.792663476874;28
"{02595192000151} => {00482840000138}";0.0132664037289351;0.578125;20.6716746794872;37
"{00482840000138} => {02595192000151}";0.0132664037289351;0.474358974358974;20.6716746794872;37
"{02595192000151} => {13146946000102}";0.0143420580853352;0.625;15.4258849557522;40
"{13146946000102} => {02595192000151}";0.0143420580853352;0.353982300884956;15.4258849557522;40
"{22014876000120} => {11139478000113}";0.0118321979204016;0.733333333333333;25.2502057613169;33
"{11139478000113} => {22014876000120}";0.0118321979204016;0.407407407407407;25.2502057613169;33
"{22014876000120} => {09071136000167}";0.0103979921118681;0.644444444444444;15.6291787439614;29
"{13970625000128} => {07245458000150}";0.012190749372535;0.944444444444444;23.3102261553589;34
"{07245458000150} => {13970625000128}";0.012190749372535;0.300884955752212;23.3102261553589;34
"{10463704000154} => {11139478000113}";0.0114736464682682;0.842105263157895;28.9954515919428;32
"{11139478000113} => {10463704000154}";0.0114736464682682;0.395061728395062;28.9954515919428;32
"{10463704000154} => {09071136000167}";0.0103979921118681;0.763157894736842;18.50823798627;29
"{13767262000128} => {55741110000104}";0.0118321979204016;0.66;20.6824719101124;33
"{55741110000104} => {13767262000128}";0.0118321979204016;0.370786516853933;20.6824719101124;33
"{13767262000128} => {13440815000133}";0.0107565435640014;0.6;25.3545454545455;30
"{13440815000133} => {13767262000128}";0.0107565435640014;0.454545454545455;25.3545454545455;30
"{13767262000128} => {17930162000121}";0.0103979921118681;0.58;24.5093939393939;29
"{17930162000121} => {13767262000128}";0.0103979921118681;0.439393939393939;24.5093939393939;29
"{00482840000138} => {13146946000102}";0.0179275726066691;0.641025641025641;15.8214204674382;50
"{13146946000102} => {00482840000138}";0.0179275726066691;0.442477876106195;15.8214204674382;50
"{21548780000189} => {20483193000196}";0.0100394406597347;0.777777777777778;11.600118835413;28
"{13734839000103} => {19225144000174}";0.0103979921118681;0.725;15.4353053435115;29
"{09105910000103} => {06177718000134}";0.0100394406597347;0.736842105263158;13.9799498746867;28
"{09105910000103} => {16403724000116}";0.0111150950161348;0.815789473684211;13.1516580468512;31
"{11686277000136} => {10752963000103}";0.0107565435640014;0.810810810810811;17.0026417394838;30
