rules;support;confidence;lift;count
{20483193000196} => {14517117000151};0,01542608;0,2402315;5,7832924;166
{20483193000196} => {30223033000161};0,01040795;0,1620839;0,7989855;112
{23288594000183, 24136684000111} => {30223033000161};0,01124431;0,9307692;4,5881849;121
{24136684000111, 30223033000161} => {23288594000183};0,01124431;0,4321429;13,0626104;121
{23288594000183, 30223033000161} => {24136684000111};0,01124431;0,3677812;13,0187270;121
{23288594000183, 26889274000177} => {30223033000161};0,01161602;0,9615385;4,7398605;125
{23288594000183, 30223033000161} => {26889274000177};0,01161602;0,3799392;5,6007203;125
{26889274000177, 30223033000161} => {23288594000183};0,01161602;0,1914242;5,7862803;125
{9538374000130, 28089897000190} => {30223033000161};0,01059381;0,9344262;4,6062119;114
{9538374000130, 30223033000161} => {28089897000190};0,01059381;0,4086022;7,4778363;114
{28089897000190, 30223033000161} => {9538374000130};0,01059381;0,2159091;7,4467876;114
{9538374000130, 26889274000177} => {30223033000161};0,01254530;0,9440559;4,6536812;135
{9538374000130, 30223033000161} => {26889274000177};0,01254530;0,4838710;7,1327883;135
{26889274000177, 30223033000161} => {9538374000130};0,01254530;0,2067381;7,1304777;135
{16103634000100, 30359598000170} => {30223033000161};0,01068674;0,9426230;4,6466173;115
{16103634000100, 30223033000161} => {30359598000170};0,01068674;0,4852321;13,7049404;115
{30223033000161, 30359598000170} => {16103634000100};0,01068674;0,3453453;13,8666465;115
{12464710000151, 26889274000177} => {30223033000161};0,01273116;0,9580420;4,7226246;137
{12464710000151, 30223033000161} => {26889274000177};0,01273116;0,4029412;5,9397945;137
{26889274000177, 30223033000161} => {12464710000151};0,01273116;0,2098009;6,2887679;137
{20204978000182, 26889274000177} => {30223033000161};0,01115138;0,9230769;4,5502660;120
{20204978000182, 30223033000161} => {26889274000177};0,01115138;0,3478261;5,1273377;120
{26889274000177, 30223033000161} => {20204978000182};0,01115138;0,1837672;4,6749862;120
{18596838000155, 26889274000177} => {30223033000161};0,01124431;0,9307692;4,5881849;121
{18596838000155, 30223033000161} => {26889274000177};0,01124431;0,3477011;5,1254960;121
{26889274000177, 30223033000161} => {18596838000155};0,01124431;0,1852986;4,7139444;121
{26536443000195, 30359598000170} => {30223033000161};0,01050088;0,9741379;4,8019690;113
{26536443000195, 30223033000161} => {30359598000170};0,01050088;0,2783251;7,8610411;113
{30223033000161, 30359598000170} => {26536443000195};0,01050088;0,3393393;8,2991605;113
{26536443000195, 28089897000190} => {30223033000161};0,01068674;0,9663866;4,7637589;115
{26536443000195, 30223033000161} => {28089897000190};0,01068674;0,2832512;5,1837866;115
{28089897000190, 30223033000161} => {26536443000195};0,01068674;0,2178030;5,3267691;115
{26536443000195, 26889274000177} => {30223033000161};0,01338166;0,9350649;4,6093604;144
{26536443000195, 30223033000161} => {26889274000177};0,01338166;0,3546798;5,2283690;144
{26889274000177, 30223033000161} => {26536443000195};0,01338166;0,2205207;5,3932340;144
{26889274000177, 30359598000170} => {30223033000161};0,01300994;0,9722222;4,7925256;140
{30223033000161, 30359598000170} => {26889274000177};0,01300994;0,4204204;6,1974577;140
{26889274000177, 30223033000161} => {30359598000170};0,01300994;0,2143951;6,0553954;140
{28089897000190, 30814518000120} => {30223033000161};0,01310287;0,9527027;4,6963050;141
{30223033000161, 30814518000120} => {28089897000190};0,01310287;0,3810811;6,9741726;141
{28089897000190, 30223033000161} => {30814518000120};0,01310287;0,2670455;6,4576992;141
{26889274000177, 30814518000120} => {30223033000161};0,01468265;0,9813665;4,8376017;158
{30223033000161, 30814518000120} => {26889274000177};0,01468265;0,4270270;6,2948464;158
{26889274000177, 30223033000161} => {30814518000120};0,01468265;0,2419602;5,8510866;158
{26889274000177, 28089897000190} => {30223033000161};0,01821392;0,9468599;4,6675032;196
{28089897000190, 30223033000161} => {26889274000177};0,01821392;0,3712121;5,4720735;196
{26889274000177, 30223033000161} => {28089897000190};0,01821392;0,3001531;5,4931087;19
