rule;support;confidence;lift;count
{04567265000127,15724019000158} => {06177718000134};0.01038136;0.7816092;12.450624;340
{04567265000127,06177718000134} => {15724019000158};0.01038136;0.7423581;14.176659;340
{04567265000127,16403724000116} => {06177718000134};0.01090043;0.8380282;13.349349;357
{04567265000127,06177718000134} => {16403724000116};0.01090043;0.7794760;12.563296;357
{15724019000158,79053468000102} => {06177718000134};0.01032030;0.7915691;12.609280;338
{06177718000134,79053468000102} => {15724019000158};0.01032030;0.7477876;14.280345;338
{16403724000116,79053468000102} => {06177718000134};0.01062563;0.8571429;13.653835;348
{06177718000134,79053468000102} => {16403724000116};0.01062563;0.7699115;12.409140;348
{10986234000103,15724019000158} => {16403724000116};0.01102256;0.7367347;11.874408;361
{10986234000103,16403724000116} => {15724019000158};0.01102256;0.7443299;14.214314;361
{10986234000103,15724019000158} => {06177718000134};0.01233550;0.8244898;13.133689;404
{06177718000134,10986234000103} => {15724019000158};0.01233550;0.7509294;14.340343;404
{10986234000103,16403724000116} => {06177718000134};0.01233550;0.8329897;13.269088;404
{06177718000134,10986234000103} => {16403724000116};0.01233550;0.7509294;12.103193;404
{04762679000107,15724019000158} => {16403724000116};0.01093096;0.7232323;11.656782;358
{04762679000107,16403724000116} => {15724019000158};0.01093096;0.7568710;14.453810;358
{04762679000107,15724019000158} => {06177718000134};0.01242710;0.8222222;13.097568;407
{04762679000107,06177718000134} => {15724019000158};0.01242710;0.7467890;14.261275;407
{04762679000107,16403724000116} => {06177718000134};0.01224390;0.8477801;13.504692;401
{04762679000107,06177718000134} => {16403724000116};0.01224390;0.7357798;11.859018;401
{08459500000106,16403724000116} => {06177718000134};0.01141950;0.7906977;12.595399;374
{06177718000134,08459500000106} => {16403724000116};0.01141950;0.8077754;13.019415;374
{10828286000151,16403724000116} => {06177718000134};0.01193857;0.6969697;11.102361;391
{06177718000134,10828286000151} => {16403724000116};0.01193857;0.7804391;12.578820;391
{10278886000193,15724019000158} => {16403724000116};0.01355684;0.7551020;12.170446;444
{10278886000193,16403724000116} => {15724019000158};0.01355684;0.6500732;12.414313;444
{10278886000193,15724019000158} => {06177718000134};0.01483924;0.8265306;13.166198;486
{06177718000134,10278886000193} => {15724019000158};0.01483924;0.6621253;12.644471;486
{10278886000193,16403724000116} => {06177718000134};0.01706818;0.8184480;13.037447;559
{06177718000134,10278886000193} => {16403724000116};0.01706818;0.7615804;12.274862;559
{00761025000108,10278886000193} => {06177718000134};0.01056456;0.7775281;12.385614;346
{05207424000145,15724019000158} => {06177718000134};0.01102256;0.7106299;11.319961;361
{05207424000145,06177718000134} => {15724019000158};0.01102256;0.5766773;11.012687;361
{05207424000145,16403724000116} => {06177718000134};0.01319044;0.8014842;12.767223;432
{05207424000145,06177718000134} => {16403724000116};0.01319044;0.6900958;11.122701;432
{15724019000158,16403724000116} => {06177718000134};0.02564807;0.8015267;12.767900;840
{06177718000134,15724019000158} => {16403724000116};0.02564807;0.7355517;11.855341;840
{06177718000134,16403724000116} => {15724019000158};0.02564807;0.6034483;11.523927;840
{00761025000108,15724019000158} => {16403724000116};0.01334310;0.6892744;11.109462;437
{00761025000108,16403724000116} => {15724019000158};0.01334310;0.5772787;11.024172;437
{00761025000108,15724019000158} => {06177718000134};0.01468657;0.7586751;12.085295;481
{00761025000108,06177718000134} => {15724019000158};0.01468657;0.6166667;11.776356;481
{09058708000178,16403724000116} => {06177718000134};0.01175537;0.6949458;11.070122;385
{06177718000134,09058708000178} => {16403724000116};0.01175537;0.7291667;11.752430;385
{00761025000108,16403724000116} => {06177718000134};0.01697658;0.7344782;11.699852;556
{00761025000108,06177718000134} => {16403724000116};0.01697658;0.7128205;11.488969;556
{10278886000193,15724019000158,16403724000116} => {06177718000134};0.01187750;0.8761261;13.956229;389
{06177718000134,10278886000193,15724019000158} => {16403724000116};0.01187750;0.8004115;12.900727;389
{06177718000134,10278886000193,16403724000116} => {15724019000158};0.01187750;0.6958855;13.289182;389
{00761025000108,15724019000158,16403724000116} => {06177718000134};0.01114470;0.8352403;13.304939;365
{00761025000108,06177718000134,15724019000158} => {16403724000116};0.01114470;0.7588358;12.230625;365
{00761025000108,06177718000134,16403724000116} => {15724019000158};0.01114470;0.6564748;12.536564;365
{71443667000107} => {01151850000153};0.01068822;0.5929752;32.166809;287
{01151850000153} => {71443667000107};0.01068822;0.5797980;32.166809;287
{71443667000107} => {12925007000101};0.01012960;0.5619835;32.948428;272
{12925007000101} => {71443667000107};0.01012960;0.5938865;32.948428;272
{71443667000107} => {55741110000104};0.01180545;0.6549587;23.575001;317
{71443667000107} => {07253912000114};0.01132132;0.6280992;22.104481;304
{01151850000153} => {12925007000101};0.01020408;0.5535354;32.453125;274
{12925007000101} => {01151850000153};0.01020408;0.5982533;32.453125;274
{01151850000153} => {55741110000104};0.01132132;0.6141414;22.105798;304
{01151850000153} => {07253912000114};0.01094891;0.5939394;20.902307;294
{12925007000101} => {55741110000104};0.01079994;0.6331878;22.791365;290
{12925007000101} => {07253912000114};0.01124683;0.6593886;23.205641;302
{04418934000107} => {08658622000113};0.01027856;0.7022901;16.284882;276
{13338681000144} => {08658622000113};0.01258752;0.7176221;16.640404;338
{08772301000145} => {00761025000108};0.01161925;0.6782609;7.230115;312
{58867425000182} => {00761025000108};0.01139580;0.8476454;9.035719;306
{11420095000119} => {00761025000108};0.01109787;0.7967914;8.493626;298
{13734839000103} => {19225144000174};0.01001788;0.6529126;14.757584;269
{13440815000133} => {55741110000104};0.01035305;0.5138632;18.496320;278
{17930162000121} => {55741110000104};0.01020408;0.5018315;18.063243;274
{12384280000168} => {79053468000102};0.01102339;0.9801325;73.106990;296
{79053468000102} => {12384280000168};0.01102339;0.8222222;73.106990;296
{11686277000136} => {00761025000108};0.01199166;0.8090452;8.624249;322
{17356181000196} => {10596399000179};0.01120959;0.6840909;7.979674;301
{05075962000123} => {07245458000150};0.01128408;0.7163121;24.691157;303
{18641075000117} => {08658622000113};0.01340682;0.7142857;16.563040;360
{18641075000117} => {00761025000108};0.01169373;0.6230159;6.641216;314
{13440815000133} => {17930162000121};0.01984955;0.9852126;48.452249;533
{17930162000121} => {13440815000133};0.01984955;0.9761905;48.452249;533
{17451234000158} => {00761025000108};0.01482199;0.7537879;8.035217;398
{03961467000196} => {06957510000138};0.01411440;1.0000000;70.663158;379
{06957510000138} => {03961467000196};0.01411440;0.9973684;70.663158;379
{10828286000151} => {00761025000108};0.01076270;0.5958763;6.351913;289
{19571002000169} => {00761025000108};0.01370475;0.7345309;7.829942;368
{10759101000102} => {20483193000196};0.01068822;0.6768868;9.986684;287
{13303039000120} => {10752963000103};0.01266200;0.6427221;19.678876;340
{13303039000120} => {06177718000134};0.01016684;0.5160681;9.583305;273
{13303039000120} => {16403724000116};0.01079994;0.5482042;9.846407;290
{13303039000120} => {00761025000108};0.01295993;0.6578450;7.012487;348
{67718783000114} => {12134879000143};0.01232683;0.6304762;30.503688;331
{12134879000143} => {67718783000114};0.01232683;0.5963964;30.503688;331
{11329948000101} => {10434081000191};0.01154476;0.6224900;29.584248;310
{10434081000191} => {11329948000101};0.01154476;0.5486726;29.584248;310
{12134879000143} => {10596399000179};0.01065098;0.5153153;6.010967;286
{04567265000127} => {15724019000158};0.01139580;0.6428571;15.481614;306
{04567265000127} => {06177718000134};0.01240131;0.6995798;12.991091;333
{04567265000127} => {16403724000116};0.01113511;0.6281513;11.282353;299
{20958488000171} => {10596399000179};0.01593922;0.7169179;8.362589;428
{12811487000171} => {14811522000188};0.01243855;0.5146379;18.956182;334
{05530834000122} => {20483193000196};0.01441233;0.6450000;9.516231;387
{11060390000101} => {10596399000179};0.01106063;0.5051020;5.891833;297
{07055987000190} => {06177718000134};0.01359303;0.5993432;11.129712;365
{07055987000190} => {16403724000116};0.01184269;0.5221675;9.378757;318
{18912500000165} => {10596399000179};0.01403992;0.6522491;7.608251;377
{18912500000165} => {00761025000108};0.01098615;0.5103806;5.440548;295
{08459500000106} => {06177718000134};0.01314613;0.6326165;11.747592;353
{08459500000106} => {16403724000116};0.01359303;0.6541219;11.748816;365
{08459500000106} => {00761025000108};0.01169373;0.5627240;5.998517;314
{12068781000135} => {20483193000196};0.01407716;0.6247934;9.218106;378
{10986234000103} => {15724019000158};0.01567853;0.6757624;16.274057;421
{10986234000103} => {06177718000134};0.01746611;0.7528090;13.979548;469
{10986234000103} => {16403724000116};0.01545509;0.6661316;11.964526;415
{15567891000130} => {10596399000179};0.01921645;0.6216867;7.251752;516
{92823764000103} => {20483193000196};0.01359303;0.5676516;8.375045;365
{92823764000103} => {10596399000179};0.01273648;0.5318818;6.204209;342
{92823764000103} => {00761025000108};0.01284820;0.5365474;5.719481;345
{10278886000193} => {15724019000158};0.01187993;0.5316667;12.803868;319
{10278886000193} => {06177718000134};0.01489647;0.6666667;12.379899;400
{10278886000193} => {16403724000116};0.01467302;0.6566667;11.794524;394
{10278886000193} => {00761025000108};0.01359303;0.6083333;6.484703;365
{03217016000149} => {10596399000179};0.01310889;0.5035765;5.874039;352
{03217016000149} => {00761025000108};0.01493371;0.5736767;6.115270;401
{11094173000132} => {06177718000134};0.01087442;0.5540797;10.289176;292
{11094173000132} => {20483193000196};0.01072546;0.5464896;8.062823;288
{11094173000132} => {16403724000116};0.01098615;0.5597723;10.054184;295
{11094173000132} => {10596399000179};0.01072546;0.5464896;6.374604;288
{11094173000132} => {00761025000108};0.01292269;0.6584440;7.018872;347
